date,title,creator,original_url,original_status,original_video_title,original_channel,original_duration_seconds,original_youtube_status,original_error,original_checked_at,final_url,final_status,final_video_title,final_channel,final_duration_seconds,final_checked_at,replaced,selection_reason,original_independent_recheck_error,replacement_independent_recheck,replacement_independent_checked_at
01-11,"The Planets, op. 32",Holst,https://www.youtube.com/watch?v=5W-o5Y_GunU,playable,"Holst: The Planets, Op. 32: IV. Jupiter, the Bringer of Jollity",Chicago Symphony Orchestra - Topic,456,OK,,2026-09-23T05:27:25+00:00,https://www.youtube.com/watch?v=5W-o5Y_GunU,playable,"Holst: The Planets, Op. 32: IV. Jupiter, the Bringer of Jollity",Chicago Symphony Orchestra - Topic,456,2026-09-23T05:27:25+00:00,False,,,,
01-12,"Symphony #8 in F, op. 93",Beethoven,https://www.youtube.com/watch?v=fa6DRoxpOwg,playable,"Beethoven: Symphony no. 8 in F major, op.93",Jamison Sanchez,1462,OK,,2026-09-23T05:27:26+00:00,https://www.youtube.com/watch?v=fa6DRoxpOwg,playable,"Beethoven: Symphony no. 8 in F major, op.93",Jamison Sanchez,1462,2026-09-23T05:27:26+00:00,False,,,,
01-13,"Symphony #2 in D, op. 43",Sibelius,https://www.youtube.com/watch?v=2lHncn68uyQ,playable,"Jean Sibelius - Symphony No. 2 in D major, Op. 43 (Orchestre de Paris, Paavo Järvi)",wocomoMUSIC,2800,OK,,2026-09-23T05:27:27+00:00,https://www.youtube.com/watch?v=2lHncn68uyQ,playable,"Jean Sibelius - Symphony No. 2 in D major, Op. 43 (Orchestre de Paris, Paavo Järvi)",wocomoMUSIC,2800,2026-09-23T05:27:27+00:00,False,,,,
01-14,Madama Butterfly,Puccini,https://www.youtube.com/watch?v=IYrbdiee9SU,playable,Puccini: Madama Butterfly (Full Opera),HALIDONMUSIC,8938,OK,,2026-09-23T05:27:28+00:00,https://www.youtube.com/watch?v=IYrbdiee9SU,playable,Puccini: Madama Butterfly (Full Opera),HALIDONMUSIC,8938,2026-09-23T05:27:28+00:00,False,,,,
01-15,"Symphony #40 in G minor, K. 550",Mozart,https://www.youtube.com/watch?v=JTc1mDieQI8,playable,"Mozart - Symphony No. 40 in G minor, K. 550 [complete]",Am4d3usM0z4rt,1585,OK,,2026-09-23T05:27:30+00:00,https://www.youtube.com/watch?v=JTc1mDieQI8,playable,"Mozart - Symphony No. 40 in G minor, K. 550 [complete]",Am4d3usM0z4rt,1585,2026-09-23T05:27:30+00:00,False,,,,
01-16,"Cello Concerto #1 in C, Hob. VIIb/1",Haydn,https://www.youtube.com/watch?v=x8bLJeVQiJk,playable,Haydn Concerto n. 1 in C major Hob. VIIb:1 | Hayoung Choi - Queen Elisabeth Competition 2022,Queen Elisabeth Competition,1442,OK,,2026-09-23T05:27:31+00:00,https://www.youtube.com/watch?v=x8bLJeVQiJk,playable,Haydn Concerto n. 1 in C major Hob. VIIb:1 | Hayoung Choi - Queen Elisabeth Competition 2022,Queen Elisabeth Competition,1442,2026-09-23T05:27:31+00:00,False,,,,
01-17,"Piano Quintet in F minor, op. 34",Brahms,https://www.youtube.com/watch?v=Jb7vDC5les4,playable,Quatuor Ebène - Brahms Piano Quintet f-minor Op. 34,FestivalWissembourg,2726,OK,,2026-09-23T05:27:32+00:00,https://www.youtube.com/watch?v=Jb7vDC5les4,playable,Quatuor Ebène - Brahms Piano Quintet f-minor Op. 34,FestivalWissembourg,2726,2026-09-23T05:27:32+00:00,False,,,,
01-18,Quatuor pour la fin du temps (Quartet for the End of Time),Messiaen,https://www.youtube.com/watch?v=QAQmZvxVffY,playable,"Messiaen: Quatuor pour la fin du temps / Weithaas, Gabetta, Meyer, Chamayou",Hochrhein Musikfestival Productions,2996,OK,,2026-09-23T05:27:33+00:00,https://www.youtube.com/watch?v=QAQmZvxVffY,playable,"Messiaen: Quatuor pour la fin du temps / Weithaas, Gabetta, Meyer, Chamayou",Hochrhein Musikfestival Productions,2996,2026-09-23T05:27:33+00:00,False,,,,
01-19,"Symphony #3 in C, op. 52",Sibelius,https://www.youtube.com/watch?v=_iPYeALbp50,playable,"Sibelius - Symphony No 3 in C major, Op 52 - Salonen",Cantus 5,1774,OK,,2026-09-23T05:27:34+00:00,https://www.youtube.com/watch?v=_iPYeALbp50,playable,"Sibelius - Symphony No 3 in C major, Op 52 - Salonen",Cantus 5,1774,2026-09-23T05:27:34+00:00,False,,,,
01-20,"Piano Sonata #28 in A, op. 101",Beethoven,https://www.youtube.com/watch?v=ZsItzA34B1I,playable,"Emil Gilels - Beethoven - Piano Sonata No 28 in A major, Op 101",Classical Vault 1,1246,OK,,2026-09-23T05:27:36+00:00,https://www.youtube.com/watch?v=ZsItzA34B1I,playable,"Emil Gilels - Beethoven - Piano Sonata No 28 in A major, Op 101",Classical Vault 1,1246,2026-09-23T05:27:36+00:00,False,,,,
01-21,"Die Zauberflöte (The Magic Flute), K. 620",Mozart,https://www.youtube.com/watch?v=YuBeBjqKSGQ,playable,"The Magic Flute – Queen of the Night aria (Mozart; Diana Damrau, The Royal Opera)",Royal Ballet and Opera,181,OK,,2026-09-23T05:27:37+00:00,https://www.youtube.com/watch?v=YuBeBjqKSGQ,playable,"The Magic Flute – Queen of the Night aria (Mozart; Diana Damrau, The Royal Opera)",Royal Ballet and Opera,181,2026-09-23T05:27:37+00:00,False,,,,
01-22,"String Quartet #14 in C-sharp minor, op. 131",Beethoven,https://www.youtube.com/watch?v=NdDNeMIvhIo,playable,"Beethoven: String Quartet in C-sharp minor, Op. 131",Chamber Music Society of Lincoln Center,2364,OK,,2026-09-23T05:27:38+00:00,https://www.youtube.com/watch?v=NdDNeMIvhIo,playable,"Beethoven: String Quartet in C-sharp minor, Op. 131",Chamber Music Society of Lincoln Center,2364,2026-09-23T05:27:38+00:00,False,,,,
01-23,"Hebrides Overture, op. 26 ""Fingal's Cave""",Mendelssohn,https://www.youtube.com/watch?v=zcogD-hHEYs,playable,Mendelssohn - Hebrides Overture (Fingal's Cave)  (Abbado),ArtyClassical,620,OK,,2026-09-23T05:27:39+00:00,https://www.youtube.com/watch?v=zcogD-hHEYs,playable,Mendelssohn - Hebrides Overture (Fingal's Cave)  (Abbado),ArtyClassical,620,2026-09-23T05:27:39+00:00,False,,,,
01-24,"Cello Concerto in A minor, op. 129",Schumann,https://www.youtube.com/watch?v=NayPFVXYo9o,playable,Schumann Cello Concerto op 129 | Kian Soltani | Christoph Eschenbach | SWR Symphonieorchester | HD,Kian Soltani,1427,OK,,2026-09-23T05:27:40+00:00,https://www.youtube.com/watch?v=NayPFVXYo9o,playable,Schumann Cello Concerto op 129 | Kian Soltani | Christoph Eschenbach | SWR Symphonieorchester | HD,Kian Soltani,1427,2026-09-23T05:27:40+00:00,False,,,,
01-25,"Piano Sonata #15 in D, op. 28 ""Pastoral""",Beethoven,https://www.youtube.com/watch?v=v5JOE60kQBQ,playable,András Schiff Beethoven Piano Sonata No.15 'Pastorale' Op.28,SW,1433,OK,,2026-09-23T05:27:42+00:00,https://www.youtube.com/watch?v=v5JOE60kQBQ,playable,András Schiff Beethoven Piano Sonata No.15 'Pastorale' Op.28,SW,1433,2026-09-23T05:27:42+00:00,False,,,,
01-26,Carmen,Bizet,https://www.youtube.com/watch?v=u_VkfIthWHo,playable,Bizet: Carmen (Full Opera),HALIDONMUSIC,9631,OK,,2026-09-23T05:27:43+00:00,https://www.youtube.com/watch?v=u_VkfIthWHo,playable,Bizet: Carmen (Full Opera),HALIDONMUSIC,9631,2026-09-23T05:27:43+00:00,False,,,,
01-27,"Variations on a Rococo Theme, op. 33",Tchaikovsky,https://www.youtube.com/watch?v=_591VkMY4iQ,playable,Tchaikovsky: Variations on a Rococo Theme - Rotterdam Philharmonic Orchestra - Live Concert HD,AVROTROS Klassiek,1318,OK,,2026-09-23T05:27:44+00:00,https://www.youtube.com/watch?v=_591VkMY4iQ,playable,Tchaikovsky: Variations on a Rococo Theme - Rotterdam Philharmonic Orchestra - Live Concert HD,AVROTROS Klassiek,1318,2026-09-23T05:27:44+00:00,False,,,,
01-28,L'Oiseau de Feu,Stravinsky,https://www.youtube.com/watch?v=VZqYPIN4CEI,playable,Stravinsky : L'Oiseau de feu (Orchestre philharmonique de radio France / Mikko Franck),France Musique concerts,1381,OK,,2026-09-23T05:27:45+00:00,https://www.youtube.com/watch?v=VZqYPIN4CEI,playable,Stravinsky : L'Oiseau de feu (Orchestre philharmonique de radio France / Mikko Franck),France Musique concerts,1381,2026-09-23T05:27:45+00:00,False,,,,
01-29,"Piano Quartet #2 in A, op. 26",Brahms,https://www.youtube.com/watch?v=AMQamKZkDvc,playable,Brahms Piano Quartet No 2 in A major op 26,omentie K,2839,OK,,2026-09-23T05:27:46+00:00,https://www.youtube.com/watch?v=AMQamKZkDvc,playable,Brahms Piano Quartet No 2 in A major op 26,omentie K,2839,2026-09-23T05:27:46+00:00,False,,,,
01-30,"Concerto for Two Violins in D minor, BWV 1043",Bach,https://www.youtube.com/watch?v=ILKJcsET-NM,playable,Bach - Concerto for two violins in D minor BWV 1043 - Sato and Deans | Netherlands Bach Society,Netherlands Bach Society,854,OK,,2026-09-23T05:27:48+00:00,https://www.youtube.com/watch?v=ILKJcsET-NM,playable,Bach - Concerto for two violins in D minor BWV 1043 - Sato and Deans | Netherlands Bach Society,Netherlands Bach Society,854,2026-09-23T05:27:48+00:00,False,,,,
01-31,"Also Sprach Zarathustra, op. 30","Strauss, R.",https://www.youtube.com/watch?v=IFPwm0e_K98,playable,"Richard Strauss - Also sprach Zarathustra, Op. 30",IlaryRhineKlange,1835,OK,,2026-09-23T05:27:49+00:00,https://www.youtube.com/watch?v=IFPwm0e_K98,playable,"Richard Strauss - Also sprach Zarathustra, Op. 30",IlaryRhineKlange,1835,2026-09-23T05:27:49+00:00,False,,,,
02-01,"Winterreise, D. 911",Schubert,https://www.youtube.com/watch?v=l0Rry-ahcHM,playable,Schubert: Die Winterreise D. 911 / Fischer Dieskau & Brendel,정마에 Zeong,4411,OK,,2026-09-23T05:27:50+00:00,https://www.youtube.com/watch?v=l0Rry-ahcHM,playable,Schubert: Die Winterreise D. 911 / Fischer Dieskau & Brendel,정마에 Zeong,4411,2026-09-23T05:27:50+00:00,False,,,,
02-02,"Symphony #4 in E minor, op. 98",Brahms,https://www.youtube.com/watch?v=7QLuYj2jxoc,playable,"Brahms - Symphony No 4 in E minor, Op 98 - Haitink",Classical Vault 1,2370,OK,,2026-09-23T05:27:52+00:00,https://www.youtube.com/watch?v=7QLuYj2jxoc,playable,"Brahms - Symphony No 4 in E minor, Op 98 - Haitink",Classical Vault 1,2370,2026-09-23T05:27:52+00:00,False,,,,
02-03,"Matthäus-Passion ('St. Matthew Passion'), BWV 244",Bach,https://www.youtube.com/watch?v=ZwVW1ttVhuQ,playable,Bach - St Matthew Passion BWV 244 - Van Veldhoven | Netherlands Bach Society,Netherlands Bach Society,9871,OK,,2026-09-23T05:27:53+00:00,https://www.youtube.com/watch?v=ZwVW1ttVhuQ,playable,Bach - St Matthew Passion BWV 244 - Van Veldhoven | Netherlands Bach Society,Netherlands Bach Society,9871,2026-09-23T05:27:53+00:00,False,,,,
02-04,"Symphony #2 in E minor, op. 27",Rachmaninoff,https://www.youtube.com/watch?v=zQtoOWqZ_J4,playable,"Rachmaninoff - Symphony No 2 in E minor, Op 27 - Pappano",Classical Vault 1,3468,OK,,2026-09-23T05:27:54+00:00,https://www.youtube.com/watch?v=zQtoOWqZ_J4,playable,"Rachmaninoff - Symphony No 2 in E minor, Op 27 - Pappano",Classical Vault 1,3468,2026-09-23T05:27:54+00:00,False,,,,
02-05,String Quartet #2 in D,Borodin,https://www.youtube.com/watch?v=c9zR8Q1vTqU,playable,"Borodin: Quartet No. 2 in D major for Strings, I. Allegro moderato",Chamber Music Society of Lincoln Center,493,OK,,2026-09-23T05:27:55+00:00,https://www.youtube.com/watch?v=c9zR8Q1vTqU,playable,"Borodin: Quartet No. 2 in D major for Strings, I. Allegro moderato",Chamber Music Society of Lincoln Center,493,2026-09-23T05:27:55+00:00,False,,,,
02-06,"Symphony #4 in A minor, op. 63",Sibelius,https://www.youtube.com/watch?v=C_GCIek9HjY,playable,"Sibelius - Symphony No 4 in A minor, Op 63 - Salonen",Cantus 5,2085,OK,,2026-09-23T05:27:56+00:00,https://www.youtube.com/watch?v=C_GCIek9HjY,playable,"Sibelius - Symphony No 4 in A minor, Op 63 - Salonen",Cantus 5,2085,2026-09-23T05:27:56+00:00,False,,,,
02-07,"Alto Rhapsody, op. 53",Brahms,https://www.youtube.com/watch?v=GheHLR05Nww,playable,Brahms Alto Rhapsody Op. 53 (Ger/Eng/Spa subtitles) Sara Mingardo,Daniel Serratos,910,OK,,2026-09-23T05:27:57+00:00,https://www.youtube.com/watch?v=GheHLR05Nww,playable,Brahms Alto Rhapsody Op. 53 (Ger/Eng/Spa subtitles) Sara Mingardo,Daniel Serratos,910,2026-09-23T05:27:57+00:00,False,,,,
02-08,"String Quintet #1 in F, op. 88",Brahms,https://www.youtube.com/watch?v=KUTYq6d0gb0,playable,"Johannes Brahms - String Quintet No. 1, Op. 88 (1882)",Bartje Bartmans,1772,OK,,2026-09-23T05:27:58+00:00,https://www.youtube.com/watch?v=KUTYq6d0gb0,playable,"Johannes Brahms - String Quintet No. 1, Op. 88 (1882)",Bartje Bartmans,1772,2026-09-23T05:27:58+00:00,False,,,,
02-09,"Symphony #9 in E-flat, op. 70",Shostakovich,https://www.youtube.com/watch?v=Qoui0sj7pGA,playable,"Shostakovich - Symphony No 9 in E-flat major, Op 70 - Spivakov",Cantus 5,1420,OK,,2026-09-23T05:28:00+00:00,https://www.youtube.com/watch?v=Qoui0sj7pGA,playable,"Shostakovich - Symphony No 9 in E-flat major, Op 70 - Spivakov",Cantus 5,1420,2026-09-23T05:28:00+00:00,False,,,,
02-10,Missa Pange lingua,Josquin,https://www.youtube.com/watch?v=_zxnFVWZVcE,playable,Josquin: Missa Pange lingua - Kyrie,pannonia77,163,OK,,2026-09-23T05:28:01+00:00,https://www.youtube.com/watch?v=_zxnFVWZVcE,playable,Josquin: Missa Pange lingua - Kyrie,pannonia77,163,2026-09-23T05:28:01+00:00,False,,,,
02-11,"Cello Suites, BWV 1007-1012",Bach,https://www.youtube.com/watch?v=AAEVOLqFaHI,playable,BACH Cello Suites - Petrit Çeku Guitar,Art Of Sound And Vision,5670,OK,,2026-09-23T05:28:02+00:00,https://www.youtube.com/watch?v=AAEVOLqFaHI,playable,BACH Cello Suites - Petrit Çeku Guitar,Art Of Sound And Vision,5670,2026-09-23T05:28:02+00:00,False,,,,
02-12,"Symphony #45 in F-sharp minor ""Farewell""",Haydn,https://www.youtube.com/watch?v=cYvjr86_aJY,playable,"Symphony No. 45 ""Farewell"" in F sharp minor - Haydn (Score)",Roc Vela,1487,OK,,2026-09-23T05:28:04+00:00,https://www.youtube.com/watch?v=cYvjr86_aJY,playable,"Symphony No. 45 ""Farewell"" in F sharp minor - Haydn (Score)",Roc Vela,1487,2026-09-23T05:28:04+00:00,False,,,,
02-13,"Die Jahreszeiten (The Seasons), Hob. XXI/3",Haydn,https://www.youtube.com/watch?v=C3UdH79XZuE,playable,J. Haydn - Hob XXI:3 - Die Jahreszeiten (The Seasons),ComposersbyNumbers,8278,OK,,2026-09-23T05:28:05+00:00,https://www.youtube.com/watch?v=C3UdH79XZuE,playable,J. Haydn - Hob XXI:3 - Die Jahreszeiten (The Seasons),ComposersbyNumbers,8278,2026-09-23T05:28:05+00:00,False,,,,
02-14,"Piano Quintet in E-flat, op. 44",Schumann,https://www.youtube.com/watch?v=PU97k1_K3SE,playable,"Argerich plays SCHUMANN: Piano Quintet op. 44, E flat Major",paiksechan,1861,OK,,2026-09-23T05:28:06+00:00,https://www.youtube.com/watch?v=PU97k1_K3SE,playable,"Argerich plays SCHUMANN: Piano Quintet op. 44, E flat Major",paiksechan,1861,2026-09-23T05:28:06+00:00,False,,,,
02-15,"Salome, op. 54","Strauss, R.",https://www.youtube.com/watch?v=0CnRyTytiQg,playable,Richard Strauss : Salomé op 54 (Danse des sept voiles),France Musique concerts,557,OK,,2026-09-23T05:28:07+00:00,https://www.youtube.com/watch?v=0CnRyTytiQg,playable,Richard Strauss : Salomé op 54 (Danse des sept voiles),France Musique concerts,557,2026-09-23T05:28:07+00:00,False,,,,
02-16,Symphony #9,Mahler,https://www.youtube.com/watch?v=IoNEeKJ2x44,playable,Mahler Symphony no. 9 - Vienna Philharmonic Orchestra - Leonard Bernstein,Michael Li,4955,OK,,2026-09-23T05:28:08+00:00,https://www.youtube.com/watch?v=IoNEeKJ2x44,playable,Mahler Symphony no. 9 - Vienna Philharmonic Orchestra - Leonard Bernstein,Michael Li,4955,2026-09-23T05:28:08+00:00,False,,,,
02-17,"Violin Concerto in D, op. 77",Brahms,https://www.youtube.com/watch?v=tV7APwv68tY,playable,"Janine Jansen - Violin Concerto in D major, Op.77 (Brahms)",B.V.Tokio Ⅱ,2405,OK,,2026-09-23T05:28:09+00:00,https://www.youtube.com/watch?v=tV7APwv68tY,playable,"Janine Jansen - Violin Concerto in D major, Op.77 (Brahms)",B.V.Tokio Ⅱ,2405,2026-09-23T05:28:09+00:00,False,,,,
02-18,"Symphony #1 in C minor, op. 68",Brahms,https://www.youtube.com/watch?v=BRdEgS_OHAk,playable,"Brahms - Symphony No 1 in C minor, Op 68 - Järvi",Classical Vault 1,2810,OK,,2026-09-23T05:28:11+00:00,https://www.youtube.com/watch?v=BRdEgS_OHAk,playable,"Brahms - Symphony No 1 in C minor, Op 68 - Järvi",Classical Vault 1,2810,2026-09-23T05:28:11+00:00,False,,,,
02-19,"Piano Sonata #21 in C, op. 53 'Waldstein'",Beethoven,https://www.youtube.com/watch?v=J3l18HTo5rY,playable,Beethoven Sonata N° 21 'Waldstein'   Daniel Barenboim,Ahmed Barod,1621,OK,,2026-09-23T05:28:12+00:00,https://www.youtube.com/watch?v=J3l18HTo5rY,playable,Beethoven Sonata N° 21 'Waldstein'   Daniel Barenboim,Ahmed Barod,1621,2026-09-23T05:28:12+00:00,False,,,,
02-20,"Piano Sonata #21 in B-flat, D. 960",Schubert,https://www.youtube.com/watch?v=oCn0PjPHdrc,playable,Schubert Piano Sonata No 21 D 960 B flat major András Schiff,Sonorum Concentus Haydn & Schubert,2539,OK,,2026-09-23T05:28:13+00:00,https://www.youtube.com/watch?v=oCn0PjPHdrc,playable,Schubert Piano Sonata No 21 D 960 B flat major András Schiff,Sonorum Concentus Haydn & Schubert,2539,2026-09-23T05:28:13+00:00,False,,,,
02-21,"Symphony #7 in C, op. 105",Sibelius,https://www.youtube.com/watch?v=dfwLm1rW14Q,playable,"Sibelius, Symphonie Nr  7 C Dur op  105   Leonard Bernstein, Wiener Philharmoniker",Ahmed Barod,1585,OK,,2026-09-23T05:28:14+00:00,https://www.youtube.com/watch?v=dfwLm1rW14Q,playable,"Sibelius, Symphonie Nr  7 C Dur op  105   Leonard Bernstein, Wiener Philharmoniker",Ahmed Barod,1585,2026-09-23T05:28:14+00:00,False,,,,
02-22,Horn Concertos,Mozart,https://www.youtube.com/watch?v=gtOkOYTM_5E,playable,Stage@Seven: Mozart: Horn Concerto E-flat major K. 495 – Marc Gruber / Elias Grandy,hr-Sinfonieorchester – Frankfurt Radio Symphony,1170,OK,,2026-09-23T05:28:15+00:00,https://www.youtube.com/watch?v=gtOkOYTM_5E,playable,Stage@Seven: Mozart: Horn Concerto E-flat major K. 495 – Marc Gruber / Elias Grandy,hr-Sinfonieorchester – Frankfurt Radio Symphony,1170,2026-09-23T05:28:15+00:00,False,,,,
02-23,Symphony #6 in A minor,Mahler,https://www.youtube.com/watch?v=MjzfXeRYNGo,deleted_or_unavailable,Claudio Abbado - Mahler Symphony No. 6,YouTube Movies,5336,UNPLAYABLE,Video unavailable,2026-09-23T05:28:17+00:00,https://www.youtube.com/watch?v=VN5aG4kmdTs,playable,Symphony No. 6 (complete) / Gustav Mahler / Jukka-Pekka Saraste / Oslo Philharmonic,Oslo Philharmonic,4976,2026-09-23T05:35:59+00:00,True,完整的马勒第六交响曲；奥斯陆爱乐官方频道，Jukka-Pekka Saraste 指挥。,ERROR: [youtube] MjzfXeRYNGo: Video unavailable,yt-dlp: public metadata and audio formats available; no media downloaded,2026-09-23T05:31:27+00:00
02-24,Pictures at an Exhibition,Mussorgsky,https://www.youtube.com/watch?v=kkC3chi_ysw,playable,Mussorgsky: Pictures at an exhibition ( Full ) - BPO / Karajan*,greatclassicrecords,2168,OK,,2026-09-23T05:28:18+00:00,https://www.youtube.com/watch?v=kkC3chi_ysw,playable,Mussorgsky: Pictures at an exhibition ( Full ) - BPO / Karajan*,greatclassicrecords,2168,2026-09-23T05:28:18+00:00,False,,,,
02-25,"Violin Sonata #1 in G, op. 78",Brahms,https://www.youtube.com/watch?v=2Ec_DnPL578,playable,"Brahms | Violin Sonata No. 1 in G major op. 78 - Julia Fischer, Yulianna Avdeeva",Südtirol in concert,1535,OK,,2026-09-23T05:28:19+00:00,https://www.youtube.com/watch?v=2Ec_DnPL578,playable,"Brahms | Violin Sonata No. 1 in G major op. 78 - Julia Fischer, Yulianna Avdeeva",Südtirol in concert,1535,2026-09-23T05:28:19+00:00,False,,,,
02-26,"Piano Sonata #20 in A, D. 959",Schubert,https://www.youtube.com/watch?v=PNu9OxXprq0,playable,"Schubert: Piano Sonata No. 20 in A Major, D. 959: II. Andantino",Mitsuko Uchida - Topic,531,OK,,2026-09-23T05:28:20+00:00,https://www.youtube.com/watch?v=PNu9OxXprq0,playable,"Schubert: Piano Sonata No. 20 in A Major, D. 959: II. Andantino",Mitsuko Uchida - Topic,531,2026-09-23T05:28:20+00:00,False,,,,
02-27,"Piano Concerto #1 in G minor, op. 25",Mendelssohn,https://www.youtube.com/watch?v=2GGx8TRWFVA,playable,"Mendelssohns - Piano Concerto No. 1 in G minor (op. 25) , Yuja Wang, Kurt Masur (Full)",AnatSob,1136,OK,,2026-09-23T05:28:21+00:00,https://www.youtube.com/watch?v=2GGx8TRWFVA,playable,"Mendelssohns - Piano Concerto No. 1 in G minor (op. 25) , Yuja Wang, Kurt Masur (Full)",AnatSob,1136,2026-09-23T05:28:21+00:00,False,,,,
02-28,"Symphony #7 in E, WAB 107",Bruckner,https://www.youtube.com/watch?v=Hq7VTOW6r6g,deleted_or_unavailable,"Bruckner: Symphony No. 7 in E major, WAB 107: III. Scherzo (Sehr schnell)",Orchestre Métropolitain - Topic,620,UNPLAYABLE,Video unavailable,2026-09-23T05:28:22+00:00,https://www.youtube.com/watch?v=q0XIT_za_E4,playable,"Symphony No. 7 in E Major, WAB 107: III. Scherzo (Sehr schnell)",Orchestre Métropolitain - Topic,620,2026-09-23T05:36:00+00:00,True,保留原视频第三乐章范围；同一 Orchestre Métropolitain Topic 频道的 ATMA 发行条目。,ERROR: [youtube] Hq7VTOW6r6g: Video unavailable,yt-dlp: public metadata and audio formats available; no media downloaded,2026-09-23T05:31:32+00:00
